3159731 function calls (3159649 primitive calls) in 262.009 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {_gdal.VersionInfo}
        1    0.000    0.000    0.000    0.000 getopt.py:187(do_shorts)
        9    0.000    0.000    0.000    0.000 makemap:36(choose)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 {posix.waitpid}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       16    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 gdal.py:456(GCP)
        2    0.000    0.000    0.000    0.000 getopt.py:202(short_has_arg)
       25    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:1311(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 {gc.enable}
        1    0.000    0.000    0.000    0.000 subprocess.py:761(__del__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
        1    0.000    0.000    0.000    0.000 gdal.py:427(ColorEntry)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 gdal.py:1362(RasterAttributeTable)
        1    0.000    0.000    0.000    0.000 {_gdal.StatBuf_swigregister}
        1    0.000    0.000    0.000    0.000 LegendConfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:649(Popen)
       10    0.000    0.000    0.000    0.000 {_sre.getlower}
        6    0.000    0.000    0.000    0.000 {range}
        4    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 osr.py:776(CoordinateTransformation)
        3    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        1    0.000    0.000    0.000    0.000 collections.py:381(Counter)
        8    0.000    0.000    0.000    0.000 {getattr}
        4    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Config.py:2(<module>)
        1    0.000    0.000    0.000    0.000 gdal.py:322(MajorObject)
        1    0.000    0.000    0.000    0.000 {_osr.SpatialReference_swigregister}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 gdal.py:636(VirtualMem)
        1    0.000    0.000    0.000    0.000 subprocess.py:460(_cleanup)
        1    0.000    0.000    0.000    0.000 {_gdal.AsyncReader_swigregister}
        1    0.000    0.000    0.000    0.000 {_gdal.Driver_swigregister}
        1    0.000    0.000    0.000    0.000 gdal.py:1582(Transformer)
        1    0.000    0.000    0.000    0.000 {_gdal.MajorObject_swigregister}
        5    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 gdal.py:657(AsyncReader)
        1    0.000    0.000    0.000    0.000 {_gdal.Band_swigregister}
        1    0.000    0.000    0.000    0.000 {_gdal.Dataset_swigregister}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       13    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        1    0.000    0.000    0.000    0.000 {_osr.CoordinateTransformation_swigregister}
        1    0.000    0.000    0.000    0.000 gdal.py:1314(ColorTable)
        1    0.000    0.000    0.000    0.000 {_gdal.ColorTable_swigregister}
        2    0.000    0.000    0.000    0.000 sre_parse.py:129(__delitem__)
        1    0.000    0.000    0.000    0.000 {_gdal.VirtualMem_swigregister}
        1    0.000    0.000    0.000    0.000 {_gdal.GCP_swigregister}
        1    0.000    0.000    0.000    0.000 pickle.py:69(UnpicklingError)
        1    0.000    0.000    0.000    0.000 subprocess.py:1325(_internal_poll)
        1    0.000    0.000    0.000    0.000 {posix.WIFSIGNALED}
        1    0.000    0.000    0.000    0.000 pickle.py:58(PickleError)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {_gdal.RasterAttributeTable_swigregister}
        1    0.000    0.000    0.000    0.000 makemap:129(Template)
        1    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 pickle.py:62(PicklingError)
        1    0.000    0.000    0.000    0.000 {_gdal.ColorEntry_swigregister}
        1    0.000    0.000    0.000    0.000 shutil.py:31(Error)
        1    0.000    0.000    0.000    0.000 {posix.WEXITSTATUS}
        1    0.000    0.000    0.000    0.000 {posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 {gc.disable}
        1    0.000    0.000    0.000    0.000 getopt.py:38(GetoptError)
        1    0.000    0.000    0.000    0.000 pickle.py:82(_Stop)
        1    0.000    0.000    0.000    0.000 {_gdal.Transformer_swigregister}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:402(CalledProcessError)
        1    0.000    0.000    0.000    0.000 shutil.py:34(SpecialFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:38(ExecError)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1261(_EmptyClass)
        1    0.000    0.000    0.000    0.000 {gc.isenabled}
